ds,y,Volume
2014-10-28,4564.290039,1.96692
2014-10-29,4549.22998,2.18405
2014-10-30,4566.140137,2.03496
2014-10-31,4630.740234,2.42436
2014-11-03,4638.910156,2.033
2014-11-04,4623.640137,1.93932
2014-11-05,4620.720215,2.00187
2014-11-06,4638.470215,1.98682
2014-11-07,4632.529785,1.97883
2014-11-10,4651.620117,1.83001
2014-11-11,4660.560059,1.66369
2014-11-12,4675.140137,1.77306
2014-11-13,4680.140137,1.85758
2014-11-14,4688.540039,1.73995
2014-11-17,4671.0,1.69507
2014-11-18,4702.439941,1.65576
2014-11-19,4675.709961,1.64156
2014-11-20,4701.870117,1.66733
2014-11-21,4712.970215,1.85434
2014-11-24,4754.890137,1.56813
2014-11-25,4758.25,1.72014
2014-11-26,4787.319824,1.36293
2014-11-28,4791.629883,0.9986
2014-12-01,4727.350098,1.8936
2014-12-02,4755.810059,1.83917
2014-12-03,4774.470215,1.73451
2014-12-04,4769.439941,1.72409
2014-12-05,4780.759766,1.7671
2014-12-08,4740.689941,1.96677
2014-12-09,4766.470215,1.95033
2014-12-10,4684.02002,1.85081
2014-12-11,4708.160156,1.87305
2014-12-12,4653.600098,1.88887
2014-12-15,4605.160156,2.14361
2014-12-16,4547.830078,2.23167
2014-12-17,4644.310059,2.27993
2014-12-18,4748.399902,2.17226
2014-12-19,4765.379883,3.28792
2014-12-22,4781.419922,1.72007
2014-12-23,4765.419922,1.59082
2014-12-24,4773.470215,0.72975
2014-12-26,4806.859863,0.93022
2014-12-29,4806.910156,1.22774
2014-12-30,4777.439941,1.2692
2014-12-31,4736.049805,1.5156
2015-01-02,4726.810059,1.43515
2015-01-05,4652.569824,1.79447
2015-01-06,4592.740234,2.16732
2015-01-07,4650.470215,1.95795
2015-01-08,4736.189941,2.10545
2015-01-09,4704.069824,1.71583
2015-01-12,4664.709961,1.86196
2015-01-13,4661.5,2.16218
2015-01-14,4639.319824,2.07381
2015-01-15,4570.819824,1.97626
2015-01-16,4634.379883,1.97052
2015-01-20,4654.850098,1.83504
2015-01-21,4667.419922,1.84742
2015-01-22,4750.399902,1.99655
2015-01-23,4757.879883,1.65383
2015-01-26,4771.759766,1.71751
2015-01-27,4681.5,1.95416
2015-01-28,4637.990234,2.11868
2015-01-29,4683.410156,2.11071
2015-01-30,4635.240234,2.26423
2015-02-02,4676.689941,2.00645
2015-02-03,4727.740234,2.15352
2015-02-04,4716.700195,2.21296
2015-02-05,4765.100098,2.03659
2015-02-06,4744.399902,2.03406
2015-02-09,4726.009766,1.65468
2015-02-10,4787.640137,1.77373
2015-02-11,4801.180176,1.79363
2015-02-12,4857.609863,2.07547
2015-02-13,4893.839844,1.94224
2015-02-17,4899.27002,1.75149
2015-02-18,4906.359863,1.6848
2015-02-19,4924.700195,1.59289
2015-02-20,4955.970215,1.76114
2015-02-23,4960.970215,1.75485
2015-02-24,4968.120117,1.83489
2015-02-25,4967.140137,1.84856
2015-02-26,4987.890137,1.90555
2015-02-27,4963.529785,1.95559
2015-03-02,5008.100098,1.93111
2015-03-03,4979.899902,2.0189
2015-03-04,4967.140137,1.82483
2015-03-05,4982.810059,1.7242
2015-03-06,4927.370117,1.91822
2015-03-09,4942.439941,1.69651
2015-03-10,4859.790039,1.87601
2015-03-11,4849.939941,1.84602
2015-03-12,4893.290039,1.85511
2015-03-13,4871.759766,1.85141
2015-03-16,4929.509766,1.71348
2015-03-17,4937.430176,1.72437
2015-03-18,4982.830078,1.98357
2015-03-19,4992.379883,1.67497
2015-03-20,5026.419922,2.82567
2015-03-23,5010.970215,1.60888
2015-03-24,4994.72998,1.61167
2015-03-25,4876.52002,2.21952
2015-03-26,4863.359863,2.00496
2015-03-27,4891.220215,1.67865
2015-03-30,4947.439941,1.77852
2015-03-31,4900.879883,1.83766
2015-04-01,4880.22998,1.87496
2015-04-02,4886.939941,1.56367
2015-04-06,4917.319824,1.73756
2015-04-07,4910.22998,1.57294
2015-04-08,4950.819824,1.71421
2015-04-09,4974.560059,1.72975
2015-04-10,4995.97998,1.49424
2015-04-13,4988.25,1.54419
2015-04-14,4977.290039,1.57136
2015-04-15,5011.02002,1.79553
2015-04-16,5007.790039,1.66285
2015-04-17,4931.810059,1.98519
2015-04-20,4994.600098,1.64634
2015-04-21,5014.100098,1.72126
2015-04-22,5035.169922,1.69638
2015-04-23,5056.060059,1.85862
2015-04-24,5092.080078,1.89515
2015-04-27,5060.25,2.17247
2015-04-28,5055.419922,2.0325
2015-04-29,5023.640137,1.8713
2015-04-30,4941.419922,2.26929
2015-05-01,5005.390137,1.8544
2015-05-04,5016.930176,1.6682
2015-05-05,4939.330078,2.06949
2015-05-06,4919.640137,2.14462
2015-05-07,4945.540039,2.04296
2015-05-08,5003.549805,1.97876
2015-05-11,4993.569824,1.73139
2015-05-12,4976.189941,1.70587
2015-05-13,4981.689941,1.67226
2015-05-14,5050.799805,1.74197
2015-05-15,5048.290039,1.66726
2015-05-18,5078.439941,1.64387
2015-05-19,5070.029785,1.75098
2015-05-20,5071.740234,1.78683
2015-05-21,5090.790039,1.68367
2015-05-22,5089.359863,1.54492
2015-05-26,5032.75,1.73195
2015-05-27,5106.589844,1.80955
2015-05-28,5097.97998,1.74142
2015-05-29,5070.029785,2.02417
2015-06-01,5082.930176,1.90212
2015-06-02,5076.52002,1.72975
2015-06-03,5099.22998,1.85268
2015-06-04,5059.120117,1.81396
2015-06-05,5068.459961,1.84289
2015-06-08,5021.629883,1.71221
2015-06-09,5013.870117,1.75434
2015-06-10,5076.689941,1.79298
2015-06-11,5082.509766,1.62395
2015-06-12,5051.100098,1.4289
2015-06-15,5029.970215,1.79028
2015-06-16,5055.549805,1.65482
2015-06-17,5064.879883,1.71282
2015-06-18,5132.950195,1.87792
2015-06-19,5117.0,2.46831
2015-06-22,5153.970215,1.61997
2015-06-23,5160.089844,1.61354
2015-06-24,5122.410156,1.6288
2015-06-25,5112.189941,1.61476
2015-06-26,5080.509766,3.84381
2015-06-29,4958.470215,2.02558
2015-06-30,4986.870117,2.03443
2015-07-01,5013.120117,1.81456
2015-07-02,5009.209961,1.49081
2015-07-06,4991.939941,1.7415
2015-07-07,4997.459961,2.13208
2015-07-08,4909.759766,1.93152
2015-07-09,4922.399902,1.8616
2015-07-10,4997.700195,1.59023
2015-07-13,5071.509766,1.69414
